timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1617384987702,11,HTTP Request,308,Permanent Redirect,Thread Group 1-8,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,11,0,0
1617384987713,12,HTTP Request,308,Permanent Redirect,Thread Group 1-8,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,12,0,0
1617384987725,13,HTTP Request,308,Permanent Redirect,Thread Group 1-8,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,12,0,0
1617384987738,10,HTTP Request,308,Permanent Redirect,Thread Group 1-8,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,10,0,0
1617384987749,13,HTTP Request,308,Permanent Redirect,Thread Group 1-8,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,13,0,0
1617384987762,10,HTTP Request,308,Permanent Redirect,Thread Group 1-8,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,10,0,0
1617384987773,12,HTTP Request,308,Permanent Redirect,Thread Group 1-8,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,12,0,0
1617384987786,11,HTTP Request,308,Permanent Redirect,Thread Group 1-8,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,11,0,0
1617384987798,13,HTTP Request,308,Permanent Redirect,Thread Group 1-8,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,13,0,0
1617384989543,37,HTTP Request,308,Permanent Redirect,Thread Group 1-9,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,37,0,16
1617384989580,13,HTTP Request,308,Permanent Redirect,Thread Group 1-9,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,13,0,0
1617384989593,13,HTTP Request,308,Permanent Redirect,Thread Group 1-9,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,13,0,0
1617384989606,12,HTTP Request,308,Permanent Redirect,Thread Group 1-9,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,12,0,0
1617384989618,12,HTTP Request,308,Permanent Redirect,Thread Group 1-9,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,12,0,0
